threshold,recall,precision,f1,fpr,true_negative,false_positive,false_negative,true_positive,pr_auc,roc_auc,snr,rows
0.5297634093511037,0.03278688524590164,0.5,0.061538461538461535,0.25,6.0,2.0,59.0,2.0,0.882332687909817,0.5901639344262295,-20,69
0.5297634093511037,0.06976744186046512,1.0,0.13043478260869565,0.0,6.0,0.0,40.0,3.0,0.970572960439206,0.7906976744186046,-18,49
0.5297634093511037,0.06666666666666667,1.0,0.125,0.0,10.0,0.0,42.0,3.0,0.9573659390493419,0.8377777777777777,-16,55
0.5297634093511037,0.02564102564102564,1.0,0.05,0.0,10.0,0.0,38.0,1.0,0.9569818573918895,0.8282051282051283,-14,49
0.5297634093511037,0.0625,1.0,0.11764705882352941,0.0,8.0,0.0,30.0,2.0,0.9234550178861066,0.6796875,-12,40
0.5297634093511037,0.07272727272727272,1.0,0.13559322033898305,0.0,12.0,0.0,51.0,4.0,0.9484042860870492,0.7757575757575758,-10,67
0.5297634093511037,0.13043478260869565,1.0,0.23076923076923078,0.0,13.0,0.0,40.0,6.0,0.9524092001006964,0.8344481605351171,-8,59
0.5297634093511037,0.1111111111111111,1.0,0.19999999999999998,0.0,9.0,0.0,48.0,6.0,0.9698023000631253,0.8189300411522634,-6,63
0.5297634093511037,0.3125,1.0,0.47619047619047616,0.0,5.0,0.0,33.0,15.0,0.9824470579787574,0.8333333333333334,-4,53
0.5297634093511037,0.5535714285714286,1.0,0.7126436781609196,0.0,5.0,0.0,25.0,31.0,0.9900240814041968,0.8928571428571429,-2,61
0.5297634093511037,0.8484848484848485,1.0,0.9180327868852458,0.0,8.0,0.0,5.0,28.0,0.9869897235473732,0.9393939393939394,0,41
0.5297634093511037,0.875,1.0,0.9333333333333333,0.0,8.0,0.0,5.0,35.0,0.9909369885433715,0.946875,2,48
0.5297634093511037,0.9069767441860465,0.975,0.9397590361445783,0.2,4.0,1.0,4.0,39.0,0.9926923093513352,0.9441860465116279,4,48
0.5297634093511037,1.0,1.0,1.0,0.0,8.0,0.0,0.0,39.0,1.0,1.0,6,47
0.5297634093511037,1.0,1.0,1.0,0.0,7.0,0.0,0.0,50.0,1.0,1.0,8,57
0.5297634093511037,1.0,1.0,1.0,0.0,4.0,0.0,0.0,51.0,1.0,1.0,10,55
0.5297634093511037,0.9714285714285714,1.0,0.9855072463768115,0.0,6.0,0.0,1.0,34.0,1.0,1.0,12,41
0.5297634093511037,0.98,1.0,0.98989898989899,0.0,11.0,0.0,1.0,49.0,0.9992307692307691,0.9963636363636363,14,61
0.5297634093511037,1.0,1.0,1.0,0.0,5.0,0.0,0.0,58.0,1.0,1.0,16,63
0.5297634093511037,1.0,0.975609756097561,0.9876543209876543,0.14285714285714285,6.0,1.0,0.0,40.0,1.0,1.0,18,47
0.5297634093511037,0.975609756097561,0.975609756097561,0.975609756097561,0.07142857142857142,13.0,1.0,1.0,40.0,0.9973488865323435,0.9912891986062717,20,55
0.5297634093511037,1.0,1.0,1.0,0.0,5.0,0.0,0.0,56.0,1.0,1.0,22,61
0.5297634093511037,1.0,0.9767441860465116,0.988235294117647,0.1,9.0,1.0,0.0,42.0,1.0,1.0,24,52
0.5297634093511037,1.0,0.98,0.98989898989899,0.25,3.0,1.0,0.0,49.0,0.9991753436068304,0.9897959183673469,26,53
0.5297634093511037,0.9772727272727273,1.0,0.9885057471264368,0.0,3.0,0.0,1.0,43.0,1.0,1.0,28,47
0.5297634093511037,0.96,1.0,0.9795918367346939,0.0,9.0,0.0,2.0,48.0,0.996005291005291,0.9755555555555555,30,59
