threshold,recall,precision,f1,fpr,true_negative,false_positive,false_negative,true_positive,pr_auc,roc_auc,original_label,rows
0.5297634093511037,0.6485148514851485,1.0,0.7867867867867867,0.0,0.0,0.0,71.0,131.0,1.0,,DJI,202
0.5297634093511037,0.6171171171171171,1.0,0.7632311977715877,0.0,0.0,0.0,85.0,137.0,1.0,,FutabaT14,222
0.5297634093511037,0.6610169491525424,1.0,0.7959183673469388,0.0,0.0,0.0,60.0,117.0,1.0,,FutabaT7,177
0.5297634093511037,0.6995305164319249,1.0,0.8232044198895027,0.0,0.0,0.0,64.0,149.0,1.0,,Graupner,213
0.5297634093511037,0.0,0.0,0.0,0.035,193.0,7.0,0.0,0.0,0.0,,Noise,200
0.5297634093511037,0.6166666666666667,1.0,0.7628865979381444,0.0,0.0,0.0,69.0,111.0,1.0,,Taranis,180
0.5297634093511037,0.6262135922330098,1.0,0.7701492537313434,0.0,0.0,0.0,77.0,129.0,1.0,,Turnigy,206
